week,state,update_dts,percent_positive,total_pcr_tests,antigen_detections,pcr_detections,epi_week,epi_year
2020-10-31,WV,2022-10-25,0,96.667,0,0,44,2020
2020-10-31,WY,2022-10-25,0,0,0,0,44,2020
2020-11-07,AL,2022-10-25,0.417,82.667,0.2,0.2,45,2020
2020-11-07,AR,2022-10-25,0.358,96.333,0,0.2,45,2020
2020-11-07,AZ,2022-10-25,0,159,0,0,45,2020
2020-11-07,CA,2022-10-25,0.067,728.667,0.6,0.2,45,2020
2020-11-07,CO,2022-10-25,0.061,2360.667,0,0.8,45,2020
2020-11-07,CT,2022-10-25,0,253.333,0,0,45,2020
2020-11-07,DE,2022-10-25,0,0,0,0,45,2020
2020-11-07,GA,2022-10-25,0.131,476.333,0.2,0.4,45,2020
2020-11-07,HI,2022-10-25,0,22.667,0,0,45,2020
2020-11-07,IA,2022-10-25,0,655.333,0.4,0,45,2020
2020-11-07,ID,2022-10-25,0,48.333,0,0,45,2020
2020-11-07,IL,2022-10-25,0,47,0.2,0,45,2020
2020-11-07,IN,2022-10-25,0.093,336.333,0,0.2,45,2020
2020-11-07,KS,2022-10-25,0,46,0,0,45,2020
2020-11-07,KY,2022-10-25,0,324.667,0,0.2,45,2020
2020-11-07,LA,2022-10-25,0.505,78.333,0.2,0.2,45,2020
2020-11-07,MA,2022-10-25,0,230.667,0,0.2,45,2020
2020-11-07,MD,2022-10-25,0.171,235.667,0,0.2,45,2020
2020-11-07,ME,2022-10-25,0,0,0,0,45,2020
2020-11-07,MI,2022-10-25,0.224,600,0.2,0.8,45,2020
2020-11-07,MN,2022-10-25,0,264.667,0,0,45,2020
2020-11-07,MO,2022-10-25,0.254,280.667,0,0.4,45,2020
2020-11-07,MS,2022-10-25,0,0,0,0,45,2020
2020-11-07,MT,2022-10-25,0,100,0,0,45,2020
2020-11-07,NC,2022-10-25,0,88,0,0,45,2020
2020-11-07,ND,2022-10-25,0,0.667,0,0,45,2020
2020-11-07,NE,2022-10-25,0.149,295.333,0,0.4,45,2020
2020-11-07,NH,2022-10-25,0,0,0,0,45,2020
2020-11-07,NJ,2022-10-25,0.245,479.333,0,0.6,45,2020
2020-11-07,NM,2022-10-25,0,321.333,0,0,45,2020
2020-11-07,NV,2022-10-25,0,402,0,0,45,2020
2020-11-07,NY,2022-10-25,0,1413.667,0,0,45,2020
2020-11-07,OH,2022-10-25,0.111,1456,0.2,1.6,45,2020
2020-11-07,OK,2022-10-25,0,348.667,0,0,45,2020
2020-11-07,OR,2022-10-25,0,1005.333,0.2,0,45,2020
2020-11-07,PA,2022-10-25,0.21,347.333,0,0.4,45,2020
2020-11-07,RI,2022-10-25,0,0,0,0,45,2020
2020-11-07,SC,2022-10-25,0,76,1.4,0,45,2020
2020-11-07,SD,2022-10-25,0,92.333,0,0,45,2020
2020-11-07,TN,2022-10-25,0,9,0,0,45,2020
2020-11-07,TX,2022-10-25,0.213,1287,1.8,2.8,45,2020
2020-11-07,UT,2022-10-25,0.405,0,0,0,45,2020
2020-11-07,VA,2022-10-25,0,121,0,0,45,2020
2020-11-07,VT,2022-10-25,0,11,0,0,45,2020
2020-11-07,WA,2022-10-25,0.067,515.333,0.6,0.2,45,2020
2020-11-07,WI,2022-10-25,0.152,1199.333,0.2,1.4,45,2020
2020-11-07,WV,2022-10-25,0,96.333,0,0,45,2020
2020-11-07,WY,2022-10-25,0,0,0,0,45,2020
2020-11-14,AL,2022-10-25,0.417,81,0.4,0.2,46,2020
2020-11-14,AR,2022-10-25,0,107.667,0,0.2,46,2020
2020-11-14,AZ,2022-10-25,0,170,0,0,46,2020
2020-11-14,CA,2022-10-25,0,994.667,0.6,0.2,46,2020
2020-11-14,CO,2022-10-25,0.025,2616,0,1,46,2020
2020-11-14,CT,2022-10-25,0,252,0,0,46,2020
2020-11-14,DE,2022-10-25,0,0,0,0,46,2020
2020-11-14,GA,2022-10-25,0.131,491.667,0.2,0.6,46,2020
2020-11-14,HI,2022-10-25,0,29.667,0,0,46,2020
2020-11-14,IA,2022-10-25,0,689.667,0.4,0,46,2020
2020-11-14,ID,2022-10-25,0,61.333,0,0,46,2020
2020-11-14,IL,2022-10-25,0,51,0.2,0,46,2020
2020-11-14,IN,2022-10-25,0.093,382.333,0,0.2,46,2020
2020-11-14,KS,2022-10-25,0,50,0,0,46,2020
2020-11-14,KY,2022-10-25,0,346.333,0,0,46,2020
2020-11-14,LA,2022-10-25,0,90.333,0.4,0.2,46,2020
2020-11-14,MA,2022-10-25,0.069,319,0,0.2,46,2020
2020-11-14,MD,2022-10-25,0,235.333,0,0.2,46,2020
2020-11-14,ME,2022-10-25,0,0,0,0,46,2020
2020-11-14,MI,2022-10-25,0.156,610.667,0.2,0.8,46,2020
2020-11-14,MN,2022-10-25,0,277.333,0,0,46,2020
2020-11-14,MO,2022-10-25,0,299,0,0.4,46,2020
2020-11-14,MS,2022-10-25,0,0,0,0,46,2020
2020-11-14,MT,2022-10-25,0,98.667,0,0,46,2020
2020-11-14,NC,2022-10-25,0,94.667,0,0,46,2020
2020-11-14,ND,2022-10-25,0,0.333,0,0,46,2020
2020-11-14,NE,2022-10-25,0.149,239.667,0,0.2,46,2020
2020-11-14,NH,2022-10-25,0,0,0,0,46,2020
2020-11-14,NJ,2022-10-25,0.056,576,0,1,46,2020
2020-11-14,NM,2022-10-25,0,301.667,0,0,46,2020
2020-11-14,NV,2022-10-25,0,454.667,0,0,46,2020
2020-11-14,NY,2022-10-25,0,1768.667,0,0,46,2020
2020-11-14,OH,2022-10-25,0.076,1704,0.2,1.4,46,2020
2020-11-14,OK,2022-10-25,0,636.333,0,0,46,2020
2020-11-14,OR,2022-10-25,0,1461,0,0,46,2020
2020-11-14,PA,2022-10-25,0.094,399.667,0,0.4,46,2020
2020-11-14,RI,2022-10-25,0,0,0,0,46,2020
2020-11-14,SC,2022-10-25,0,76.667,1.4,0,46,2020
2020-11-14,SD,2022-10-25,0,87.333,0,0,46,2020
2020-11-14,TN,2022-10-25,0,12.333,0,0,46,2020
2020-11-14,TX,2022-10-25,0.319,1451.667,1.6,2.8,46,2020
2020-11-14,UT,2022-10-25,0.2,0,0,0,46,2020
2020-11-14,VA,2022-10-25,0,136.667,0,0,46,2020
2020-11-14,VT,2022-10-25,0,16,0,0,46,2020
2020-11-14,WA,2022-10-25,0.067,627.667,0.6,0.2,46,2020
2020-11-14,WI,2022-10-25,0,1236.333,0,1,46,2020
2020-11-14,WV,2022-10-25,0,99,0,0,46,2020
2020-11-14,WY,2022-10-25,0,0,0,0,46,2020
2020-11-21,AL,2022-10-25,0,75.333,0.4,0.2,47,2020
2020-11-21,AR,2022-10-25,0,107,0,0,47,2020
2020-11-21,AZ,2022-10-25,0,166,0,0,47,2020
2020-11-21,CA,2022-10-25,0,1221.667,0.2,0,47,2020
2020-11-21,CO,2022-10-25,0.016,2433,0,0.6,47,2020
2020-11-21,CT,2022-10-25,0,235,0,0,47,2020
2020-11-21,DE,2022-10-25,0,0,0,0,47,2020
2020-11-21,GA,2022-10-25,0.202,500.333,0.4,1.2,47,2020
2020-11-21,HI,2022-10-25,0,33.333,0,0,47,2020
2020-11-21,IA,2022-10-25,0,583,0.2,0,47,2020
2020-11-21,ID,2022-10-25,0,70.667,0,0,47,2020
2020-11-21,IL,2022-10-25,0,45.667,0.2,0,47,2020
2020-11-21,IN,2022-10-25,0.093,407.667,0,0.2,47,2020
2020-11-21,KS,2022-10-25,0,46.667,0,0,47,2020
2020-11-21,KY,2022-10-25,0,333.667,0,0,47,2020
2020-11-21,LA,2022-10-25,0,98,0.4,0,47,2020
2020-11-21,MA,2022-10-25,0.069,490.333,0,0.6,47,2020
2020-11-21,MD,2022-10-25,0,250.333,0,0,47,2020
2020-11-21,ME,2022-10-25,0,0,0,0,47,2020
2020-11-21,MI,2022-10-25,0.048,713,0.2,0.6,47,2020
2020-11-21,MN,2022-10-25,0,319.667,0,0,47,2020
2020-11-21,MO,2022-10-25,0,363.667,0,0,47,2020
2020-11-21,MS,2022-10-25,0,0,0,0,47,2020
2020-11-21,MT,2022-10-25,0,97.667,0,0,47,2020
2020-11-21,NC,2022-10-25,0,82,0,0,47,2020
2020-11-21,ND,2022-10-25,0,0.333,0,0,47,2020
2020-11-21,NE,2022-10-25,0.149,199.333,0,0.2,47,2020
2020-11-21,NH,2022-10-25,0,0,0,0,47,2020
2020-11-21,NJ,2022-10-25,0.153,642.333,0,0.6,47,2020
2020-11-21,NM,2022-10-25,0,267.667,0,0,47,2020
2020-11-21,NV,2022-10-25,0,666.333,0,0,47,2020
2020-11-21,NY,2022-10-25,0,2188.333,0,0.2,47,2020
2020-11-21,OH,2022-10-25,0.034,1769,0.2,1.4,47,2020
2020-11-21,OK,2022-10-25,0,889.667,0,0,47,2020
2020-11-21,OR,2022-10-25,0,1747,0,0.4,47,2020
2020-11-21,PA,2022-10-25,0,422,0,0.4,47,2020
2020-11-21,RI,2022-10-25,0,0,0,0,47,2020
2020-11-21,SC,2022-10-25,0,74,1.6,0,47,2020
2020-11-21,SD,2022-10-25,0,62,0,0,47,2020
2020-11-21,TN,2022-10-25,0,13.333,0,0,47,2020
2020-11-21,TX,2022-10-25,0.243,1452.667,1.2,4.4,47,2020
2020-11-21,UT,2022-10-25,0.2,0,0,0,47,2020
2020-11-21,VA,2022-10-25,0,152.333,0,0,47,2020
2020-11-21,VT,2022-10-25,0,21.667,0,0,47,2020
2020-11-21,WA,2022-10-25,0,674,0.6,0.2,47,2020
2020-11-21,WI,2022-10-25,0,1116,0.2,0.2,47,2020
2020-11-21,WV,2022-10-25,0,111,0,0.2,47,2020
2020-11-21,WY,2022-10-25,0,0,0,0,47,2020
2020-11-28,AL,2022-10-25,0,78.667,0.4,0,48,2020
2020-11-28,AR,2022-10-25,0,102.333,0,0,48,2020
2020-11-28,AZ,2022-10-25,0,165,0,0,48,2020
2020-11-28,CA,2022-10-25,0,1286.333,0.2,0,48,2020
2020-11-28,CO,2022-10-25,0.016,2235.333,0,0.6,48,2020
2020-11-28,CT,2022-10-25,0,240.333,0,0,48,2020
2020-11-28,DE,2022-10-25,0,0,0,0,48,2020
2020-11-28,GA,2022-10-25,0.229,541,0.4,9.4,48,2020
2020-11-28,HI,2022-10-25,0,32.667,0,0,48,2020
