week,state,percent_positive,total_pcr_tests,update_dts
2021-03-06,AL,0.37,82.667,2023-03-04-193853
2021-03-13,AL,2.275,81.333,2023-03-04-193853
2021-03-20,AL,2.338,77,2023-03-04-193853
2021-03-27,AL,3.787,72,2023-03-04-193853
2021-04-03,AL,2.304,75,2023-03-04-193853
2021-04-10,AL,2.238,79.667,2023-03-04-193853
2021-04-17,AL,2.615,81,2023-03-04-193853
2021-04-24,AL,4.729,85.333,2023-03-04-193853
2021-05-01,AL,6.832,91,2023-03-04-193853
2021-05-08,AL,8.13,98.667,2023-03-04-193853
2021-05-15,AL,9.271,113.333,2023-03-04-193853
2021-05-22,AL,11.094,121.333,2023-03-04-193853
2021-05-29,AL,14.052,135,2023-03-04-193853
2021-06-05,AL,17.605,145,2023-03-04-193853
2021-06-12,AL,20.065,152,2023-03-04-193853
2021-06-19,AL,19.155,145,2023-03-04-193853
2021-06-26,AL,17.189,121.333,2023-03-04-193853
2021-07-03,AL,12.586,111.667,2023-03-04-193853
2021-07-10,AL,7.655,119,2023-03-04-193853
2021-07-17,AL,3.382,121,2023-03-04-193853
2021-07-24,AL,1.956,141,2023-03-04-193853
2021-07-31,AL,3.069,201.667,2023-03-04-193853
2021-08-07,AL,4.223,225,2023-03-04-193853
2021-08-14,AL,3.857,194.667,2023-03-04-193853
2021-08-21,AL,3.221,196.333,2023-03-04-193853
2021-08-28,AL,1.786,170.667,2023-03-04-193853
2021-09-04,AL,2.056,157.333,2023-03-04-193853
2021-09-11,AL,2.328,82.667,2023-03-04-193853
2021-09-18,AL,2.452,64.667,2023-03-04-193853
2021-09-25,AL,2.587,90.667,2023-03-04-193853
2021-10-02,AL,1.955,88,2023-03-04-193853
2021-10-09,AL,1.492,104.667,2023-03-04-193853
2021-10-16,AL,1.14,88,2023-03-04-193853
2021-10-23,AL,1.156,86.667,2023-03-04-193853
2021-10-30,AL,0.786,85,2023-03-04-193853
2021-11-06,AL,1.016,75.333,2023-03-04-193853
2021-11-13,AL,2.123,60.667,2023-03-04-193853
2021-11-20,AL,2.123,47,2023-03-04-193853
2021-11-27,AL,2.507,51.333,2023-03-04-193853
2021-12-04,AL,2.386,52.667,2023-03-04-193853
2021-12-11,AL,3.053,54.667,2023-03-04-193853
2021-12-18,AL,3.138,43,2023-03-04-193853
2021-12-25,AL,1.95,91,2023-03-04-193853
2022-01-01,AL,1.439,217.333,2023-03-04-193853
2022-01-08,AL,0.328,307,2023-03-04-193853
2022-01-15,AL,0.155,256,2023-03-04-193853
2022-01-22,AL,1.042,123.667,2023-03-04-193853
2022-01-29,AL,3.002,29.667,2023-03-04-193853
2022-02-05,AL,3.002,30.333,2023-03-04-193853
2022-02-12,AL,2.199,66.333,2023-03-04-193853
2022-02-19,AL,2.246,88.333,2023-03-04-193853
2022-02-26,AL,2.926,107,2023-03-04-193853
2022-03-05,AL,4.138,106.333,2023-03-04-193853
2022-03-12,AL,2.484,110,2023-03-04-193853
2022-03-19,AL,2.162,108.333,2023-03-04-193853
2022-03-26,AL,0.713,83.667,2023-03-04-193853
2022-04-02,AL,0.358,70.667,2023-03-04-193853
2022-04-09,AL,0,54,2023-03-04-193853
2022-04-16,AL,0,48.667,2023-03-04-193853
2022-04-23,AL,0.617,48.333,2023-03-04-193853
2022-04-30,AL,0.617,55.333,2023-03-04-193853
2022-05-07,AL,1.258,56.667,2023-03-04-193853
2022-05-14,AL,3.362,55,2023-03-04-193853
2022-05-21,AL,5.445,49.667,2023-03-04-193853
2022-05-28,AL,4.804,45.333,2023-03-04-193853
2022-06-04,AL,2.824,44,2023-03-04-193853
2022-06-11,AL,2.291,42.333,2023-03-04-193853
2022-06-18,AL,4.76,38.333,2023-03-04-193853
2022-06-25,AL,4.02,34.667,2023-03-04-193853
2022-07-02,AL,4.62,30.667,2023-03-04-193853
2022-07-09,AL,4.111,38.667,2023-03-04-193853
2022-07-16,AL,4.111,36.333,2023-03-04-193853
2022-07-23,AL,4.739,38,2023-03-04-193853
2022-07-30,AL,2.778,30.333,2023-03-04-193853
2022-08-06,AL,4.63,33.333,2023-03-04-193853
2022-08-13,AL,4.416,30,2023-03-04-193853
2022-08-20,AL,8.583,31.333,2023-03-04-193853
2022-08-27,AL,8.533,31.667,2023-03-04-193853
2022-09-03,AL,12.379,31.667,2023-03-04-193853
2022-09-10,AL,10.064,33,2023-03-04-193853
2022-09-17,AL,11.161,28.333,2023-03-04-193853
2022-09-24,AL,6.711,31,2023-03-04-193853
2022-10-01,AL,4.859,29.667,2023-03-04-193853
2022-10-08,AL,3.243,30.667,2023-03-04-193853
2022-10-15,AL,3.084,31.667,2023-03-04-193853
2022-10-22,AL,3.659,40.333,2023-03-04-193853
2022-10-29,AL,2.923,52,2023-03-04-193853
2022-11-05,AL,1.75,57.333,2023-03-04-193853
2022-11-12,AL,2.009,51.333,2023-03-04-193853
2022-11-19,AL,4.493,38.333,2023-03-04-193853
2022-11-26,AL,8.626,32.333,2023-03-04-193853
2022-12-03,AL,9.697,30.667,2023-03-04-193853
2022-12-10,AL,8.182,38,2023-03-04-193853
2022-12-17,AL,3.42,36.333,2023-03-04-193853
2022-12-24,AL,2.013,47,2023-03-04-193853
2022-12-31,AL,0.498,44.333,2023-03-04-193853
2023-01-07,AL,0.498,51,2023-03-04-193853
2023-01-14,AL,0,40.333,2023-03-04-193853
2023-01-21,AL,0,43.667,2023-03-04-193853
2023-01-28,AL,0,43.667,2023-03-04-193853
2023-02-04,AL,0.775,46.333,2023-03-04-193853
2023-02-11,AL,0.775,40.667,2023-03-04-193853
2023-02-18,AL,1.676,36.333,2023-03-04-193853
2023-02-25,AL,1.351,33,2023-03-04-193853
2021-03-06,AZ,0.175,180.667,2023-03-04-193853
2021-03-13,AZ,0,175.333,2023-03-04-193853
2021-03-20,AZ,0,178.333,2023-03-04-193853
2021-03-27,AZ,0,199,2023-03-04-193853
2021-04-03,AZ,0,217.333,2023-03-04-193853
2021-04-10,AZ,0.154,216.667,2023-03-04-193853
2021-04-17,AZ,0.154,217,2023-03-04-193853
2021-04-24,AZ,0.305,214.333,2023-03-04-193853
2021-05-01,AZ,0.151,222.333,2023-03-04-193853
2021-05-08,AZ,0.278,241.333,2023-03-04-193853
2021-05-15,AZ,0.127,251.667,2023-03-04-193853
2021-05-22,AZ,0.127,251.333,2023-03-04-193853
