week,state,percent_positive,total_antigen_detection_tests,update_dts
2023-02-04,AL,3.139,50.333,2023-12-23-193441886768
2023-02-11,AL,1.5,41.333,2023-12-23-193441886768
2023-02-18,AL,0.667,42,2023-12-23-193441886768
2023-02-25,AL,0,39.667,2023-12-23-193441886768
2023-03-04,AL,0,37.333,2023-12-23-193441886768
2023-03-11,AL,0,32.667,2023-12-23-193441886768
2023-03-18,AL,0.952,30,2023-12-23-193441886768
2023-03-25,AL,1.933,32.333,2023-12-23-193441886768
2023-04-01,AL,3.082,32.667,2023-12-23-193441886768
2023-04-08,AL,3.241,31,2023-12-23-193441886768
2023-04-15,AL,2.261,30.667,2023-12-23-193441886768
2023-04-22,AL,1.111,33,2023-12-23-193441886768
2023-04-29,AL,0.901,35.333,2023-12-23-193441886768
2023-05-06,AL,0.901,33.667,2023-12-23-193441886768
2023-05-13,AL,0.901,30.667,2023-12-23-193441886768
2023-05-20,AL,0,25.667,2023-12-23-193441886768
2023-05-27,AL,0,26.667,2023-12-23-193441886768
2023-06-03,AL,2.778,29.667,2023-12-23-193441886768
2023-06-10,AL,4.532,28.667,2023-12-23-193441886768
2023-06-17,AL,5.767,27.333,2023-12-23-193441886768
2023-06-24,AL,4.504,22.667,2023-12-23-193441886768
2023-07-01,AL,2.75,23.667,2023-12-23-193441886768
2023-07-08,AL,2.848,23,2023-12-23-193441886768
2023-07-15,AL,2.722,23.667,2023-12-23-193441886768
2023-07-22,AL,2.722,25.333,2023-12-23-193441886768
2023-07-29,AL,4.898,23.333,2023-12-23-193441886768
2023-08-05,AL,5.059,29.667,2023-12-23-193441886768
2023-08-12,AL,6.012,32.333,2023-12-23-193441886768
2023-08-19,AL,3.088,45,2023-12-23-193441886768
2023-08-26,AL,1.965,56.667,2023-12-23-193441886768
2023-09-02,AL,2.494,60,2023-12-23-193441886768
2023-09-09,AL,4.131,56,2023-12-23-193441886768
2023-09-16,AL,7.87,43.333,2023-12-23-193441886768
2023-09-23,AL,11.067,47.333,2023-12-23-193441886768
2023-09-30,AL,14.324,56.667,2023-12-23-193441886768
2023-10-07,AL,16.298,68.667,2023-12-23-193441886768
2023-10-14,AL,20.615,70.667,2023-12-23-193441886768
2023-10-21,AL,26.246,68.333,2023-12-23-193441886768
2023-10-28,AL,26.955,67.333,2023-12-23-193441886768
2023-11-04,AL,23.758,84.667,2023-12-23-193441886768
2023-11-11,AL,17.288,115.333,2023-12-23-193441886768
2023-11-18,AL,16.247,135,2023-12-23-193441886768
2023-11-25,AL,15.249,138.333,2023-12-23-193441886768
2023-12-02,AL,12.797,151.667,2023-12-23-193441886768
2023-12-09,AL,9.846,166,2023-12-23-193441886768
2023-12-16,AL,7.569,186.5,2023-12-23-193441886768
2021-12-25,AZ,0,0,2023-12-23-193441886768
2022-01-01,AZ,0,0,2023-12-23-193441886768
2022-01-08,AZ,0,0,2023-12-23-193441886768
2022-01-15,AZ,0,0,2023-12-23-193441886768
2022-01-22,AZ,0,0,2023-12-23-193441886768
2022-01-29,AZ,0,0,2023-12-23-193441886768
2022-02-05,AZ,0,0,2023-12-23-193441886768
2022-02-12,AZ,0,0,2023-12-23-193441886768
2022-02-19,AZ,0,0,2023-12-23-193441886768
2022-02-26,AZ,0,0,2023-12-23-193441886768
2022-03-05,AZ,0,0,2023-12-23-193441886768
2022-03-12,AZ,0,0,2023-12-23-193441886768
2022-03-19,AZ,0,0,2023-12-23-193441886768
2022-03-26,AZ,0,0,2023-12-23-193441886768
2022-04-02,AZ,0,0,2023-12-23-193441886768
2022-04-09,AZ,0,0,2023-12-23-193441886768
2022-04-16,AZ,0,0,2023-12-23-193441886768
2022-04-23,AZ,0,0,2023-12-23-193441886768
2022-04-30,AZ,0,0,2023-12-23-193441886768
2022-05-07,AZ,0,0,2023-12-23-193441886768
2022-05-14,AZ,0,0,2023-12-23-193441886768
2022-05-21,AZ,0,0,2023-12-23-193441886768
2022-05-28,AZ,0,0,2023-12-23-193441886768
2022-06-04,AZ,0,0,2023-12-23-193441886768
2022-06-11,AZ,0,0,2023-12-23-193441886768
2022-06-18,AZ,0,0,2023-12-23-193441886768
2022-06-25,AZ,0,0,2023-12-23-193441886768
2022-07-02,AZ,0,0,2023-12-23-193441886768
2022-07-09,AZ,0,0,2023-12-23-193441886768
2022-07-16,AZ,0,0,2023-12-23-193441886768
2022-07-23,AZ,0,0,2023-12-23-193441886768
2022-07-30,AZ,0,0,2023-12-23-193441886768
2022-08-06,AZ,0,0,2023-12-23-193441886768
2022-08-13,AZ,0,0,2023-12-23-193441886768
2022-08-20,AZ,0,0,2023-12-23-193441886768
2022-08-27,AZ,0,0,2023-12-23-193441886768
2022-09-03,AZ,0,0,2023-12-23-193441886768
2022-09-10,AZ,0,0,2023-12-23-193441886768
2022-09-17,AZ,0,0,2023-12-23-193441886768
2022-09-24,AZ,0,0,2023-12-23-193441886768
2022-10-01,AZ,0,0,2023-12-23-193441886768
2022-10-08,AZ,0,0,2023-12-23-193441886768
2022-10-15,AZ,0,0,2023-12-23-193441886768
2022-10-22,AZ,0,0,2023-12-23-193441886768
2022-10-29,AZ,0,0,2023-12-23-193441886768
2022-11-05,AZ,0,0,2023-12-23-193441886768
2022-11-12,AZ,0,0,2023-12-23-193441886768
2022-11-19,AZ,0,0,2023-12-23-193441886768
2022-11-26,AZ,0,0,2023-12-23-193441886768
2022-12-03,AZ,0,0,2023-12-23-193441886768
2022-12-10,AZ,0,0,2023-12-23-193441886768
2022-12-17,AZ,0,0,2023-12-23-193441886768
2022-12-24,AZ,0,0,2023-12-23-193441886768
2022-12-31,AZ,0,0,2023-12-23-193441886768
2023-01-07,AZ,0,0,2023-12-23-193441886768
2023-01-14,AZ,0,0,2023-12-23-193441886768
2023-01-21,AZ,0,0,2023-12-23-193441886768
2023-01-28,AZ,0,0,2023-12-23-193441886768
2023-02-04,AZ,0,0,2023-12-23-193441886768
2023-02-11,AZ,0,0,2023-12-23-193441886768
2023-02-18,AZ,0,0,2023-12-23-193441886768
2023-02-25,AZ,0,0,2023-12-23-193441886768
2023-03-04,AZ,0,0,2023-12-23-193441886768
2023-03-11,AZ,0,0,2023-12-23-193441886768
2023-03-18,AZ,0,0,2023-12-23-193441886768
2023-03-25,AZ,0,0,2023-12-23-193441886768
2023-04-01,AZ,0,0,2023-12-23-193441886768
2023-04-08,AZ,0,0,2023-12-23-193441886768
2023-04-15,AZ,0,0,2023-12-23-193441886768
2023-04-22,AZ,0,0,2023-12-23-193441886768
2023-04-29,AZ,0,0,2023-12-23-193441886768
2023-05-06,AZ,0,0,2023-12-23-193441886768
2023-05-13,AZ,0,0,2023-12-23-193441886768
2023-05-20,AZ,0,0,2023-12-23-193441886768
2023-05-27,AZ,0,0,2023-12-23-193441886768
2023-06-03,AZ,0,0,2023-12-23-193441886768
2023-06-10,AZ,0,0,2023-12-23-193441886768
2023-06-17,AZ,0,0,2023-12-23-193441886768
2023-06-24,AZ,0,0,2023-12-23-193441886768
2023-07-01,AZ,0,0,2023-12-23-193441886768
2023-07-08,AZ,0,0,2023-12-23-193441886768
2023-07-15,AZ,0,0,2023-12-23-193441886768
2023-07-22,AZ,0,0,2023-12-23-193441886768
2023-07-29,AZ,0,0,2023-12-23-193441886768
2023-08-05,AZ,0,0,2023-12-23-193441886768
2023-08-12,AZ,0,0,2023-12-23-193441886768
2023-08-19,AZ,0,0,2023-12-23-193441886768
2023-08-26,AZ,0,0,2023-12-23-193441886768
2023-09-02,AZ,0,0,2023-12-23-193441886768
2023-09-09,AZ,0,0,2023-12-23-193441886768
2023-09-16,AZ,0,0,2023-12-23-193441886768
2023-09-23,AZ,0,0,2023-12-23-193441886768
2023-09-30,AZ,0,0,2023-12-23-193441886768
2023-10-07,AZ,0,0,2023-12-23-193441886768
2023-10-14,AZ,0,0,2023-12-23-193441886768
2023-10-21,AZ,0,0,2023-12-23-193441886768
2023-10-28,AZ,0,0,2023-12-23-193441886768
2023-11-04,AZ,0,0,2023-12-23-193441886768
2023-11-11,AZ,0,0,2023-12-23-193441886768
2023-11-18,AZ,0,0,2023-12-23-193441886768
2023-11-25,AZ,0,0,2023-12-23-193441886768
2023-12-02,AZ,0,0,2023-12-23-193441886768
2023-12-09,AZ,0,0,2023-12-23-193441886768
2023-12-16,AZ,0,0,2023-12-23-193441886768
2021-12-25,AR,6.667,0,2023-12-23-193441886768
2022-01-01,AR,6.667,0,2023-12-23-193441886768
2022-01-08,AR,6.667,0,2023-12-23-193441886768
2022-01-15,AR,0,0,2023-12-23-193441886768
2022-01-22,AR,0,0,2023-12-23-193441886768
2022-01-29,AR,0,0,2023-12-23-193441886768
2022-02-05,AR,0,0,2023-12-23-193441886768
2022-02-12,AR,33.333,0,2023-12-23-193441886768
2022-02-19,AR,33.333,0,2023-12-23-193441886768
2022-02-26,AR,33.333,0,2023-12-23-193441886768
2022-03-05,AR,0,0,2023-12-23-193441886768
2022-03-12,AR,0,0,2023-12-23-193441886768
2022-03-19,AR,0,0,2023-12-23-193441886768
2022-03-26,AR,0,0,2023-12-23-193441886768
2022-04-02,AR,0,0,2023-12-23-193441886768
2022-04-09,AR,0,0,2023-12-23-193441886768
2022-04-16,AR,0,0,2023-12-23-193441886768
2022-04-23,AR,0,0,2023-12-23-193441886768
2022-04-30,AR,0,0,2023-12-23-193441886768
2022-05-07,AR,0,0,2023-12-23-193441886768
2022-05-14,AR,0,0,2023-12-23-193441886768
2022-05-21,AR,16.667,0,2023-12-23-193441886768
2022-05-28,AR,0,0,2023-12-23-193441886768
2022-06-04,AR,0,0,2023-12-23-193441886768
2022-06-11,AR,0,0,2023-12-23-193441886768
2022-06-18,AR,0,0,2023-12-23-193441886768
2022-06-25,AR,0,0,2023-12-23-193441886768
2022-07-02,AR,0,0,2023-12-23-193441886768
2022-07-09,AR,0,0,2023-12-23-193441886768
2022-07-16,AR,0,0,2023-12-23-193441886768
2022-07-23,AR,0,0,2023-12-23-193441886768
2022-07-30,AR,0,0,2023-12-23-193441886768
2022-08-06,AR,0,0,2023-12-23-193441886768
2022-08-13,AR,0,0,2023-12-23-193441886768
2022-08-20,AR,0,0,2023-12-23-193441886768
2022-08-27,AR,0,0,2023-12-23-193441886768
2022-09-03,AR,0,0,2023-12-23-193441886768
2022-09-10,AR,0,0,2023-12-23-193441886768
2022-09-17,AR,0,0,2023-12-23-193441886768
2022-09-24,AR,0,0,2023-12-23-193441886768
2022-10-01,AR,0,0,2023-12-23-193441886768
2022-10-08,AR,0,0,2023-12-23-193441886768
2022-10-15,AR,0,0,2023-12-23-193441886768
2022-10-22,AR,0,0,2023-12-23-193441886768
2022-10-29,AR,0,0,2023-12-23-193441886768
2022-11-05,AR,0,0,2023-12-23-193441886768
2022-11-12,AR,0,0,2023-12-23-193441886768
2022-11-19,AR,0,0,2023-12-23-193441886768
2022-11-26,AR,0,0,2023-12-23-193441886768
2022-12-03,AR,0,0,2023-12-23-193441886768
2022-12-10,AR,0,0,2023-12-23-193441886768
2022-12-17,AR,0,0,2023-12-23-193441886768
2022-12-24,AR,0,0,2023-12-23-193441886768
2022-12-31,AR,0,0,2023-12-23-193441886768
2023-01-07,AR,0,0,2023-12-23-193441886768
2023-01-14,AR,0,0,2023-12-23-193441886768
2023-01-21,AR,0,0,2023-12-23-193441886768
2023-01-28,AR,0,0,2023-12-23-193441886768
2023-02-04,AR,0,0,2023-12-23-193441886768
2023-02-11,AR,0,0,2023-12-23-193441886768
2023-02-18,AR,0,0,2023-12-23-193441886768
2023-02-25,AR,0,0,2023-12-23-193441886768
2023-03-04,AR,0,0,2023-12-23-193441886768
2023-03-11,AR,0,0,2023-12-23-193441886768
2023-03-18,AR,0,0,2023-12-23-193441886768
2023-03-25,AR,0,0,2023-12-23-193441886768
2023-04-01,AR,0,0,2023-12-23-193441886768
2023-04-08,AR,0,0,2023-12-23-193441886768
2023-04-15,AR,0,0,2023-12-23-193441886768
2023-04-22,AR,0,0,2023-12-23-193441886768
2023-04-29,AR,0,0,2023-12-23-193441886768
2023-05-06,AR,0,0,2023-12-23-193441886768
2023-05-13,AR,0,0,2023-12-23-193441886768
2023-05-20,AR,0,0,2023-12-23-193441886768
2023-05-27,AR,0,0,2023-12-23-193441886768
2023-06-03,AR,0,0,2023-12-23-193441886768
2023-06-10,AR,0,0,2023-12-23-193441886768
2023-06-17,AR,0,0,2023-12-23-193441886768
2023-06-24,AR,0,0,2023-12-23-193441886768
2023-07-01,AR,0,0,2023-12-23-193441886768
2023-07-08,AR,0,0,2023-12-23-193441886768
2023-07-15,AR,0,0,2023-12-23-193441886768
2023-07-22,AR,0,0,2023-12-23-193441886768
2023-07-29,AR,0,0,2023-12-23-193441886768
2023-08-05,AR,0,0,2023-12-23-193441886768
2023-08-12,AR,0,0,2023-12-23-193441886768
2023-08-19,AR,0,0,2023-12-23-193441886768
2023-08-26,AR,0,0,2023-12-23-193441886768
2023-09-02,AR,0,0,2023-12-23-193441886768
2023-09-09,AR,0,0,2023-12-23-193441886768
2023-09-16,AR,0,0,2023-12-23-193441886768
2023-09-23,AR,0,0,2023-12-23-193441886768
2023-09-30,AR,0,0,2023-12-23-193441886768
2023-10-07,AR,0,0,2023-12-23-193441886768
2023-10-14,AR,0,0,2023-12-23-193441886768
2023-10-21,AR,0,0,2023-12-23-193441886768
2023-10-28,AR,0,0,2023-12-23-193441886768
2023-11-04,AR,0,0,2023-12-23-193441886768
2023-11-11,AR,0,0,2023-12-23-193441886768
2023-11-18,AR,0,0,2023-12-23-193441886768
2023-11-25,AR,0,0,2023-12-23-193441886768
2023-12-02,AR,0,0,2023-12-23-193441886768
2023-12-09,AR,0,0,2023-12-23-193441886768
2023-12-16,AR,0,0,2023-12-23-193441886768
2021-12-25,CA,20.119,286,2023-12-23-193441886768
2022-01-01,CA,19.328,320.667,2023-12-23-193441886768
2022-01-08,CA,17.289,420.667,2023-12-23-193441886768
2022-01-15,CA,12.743,470.333,2023-12-23-193441886768
2022-01-22,CA,9.731,513,2023-12-23-193441886768
2022-01-29,CA,6.836,485.333,2023-12-23-193441886768
2022-02-05,CA,5.569,442.667,2023-12-23-193441886768
2022-02-12,CA,5.267,443.333,2023-12-23-193441886768
2022-02-19,CA,4.475,429,2023-12-23-193441886768
2022-02-26,CA,4.54,454.333,2023-12-23-193441886768
2022-03-05,CA,3.098,447.667,2023-12-23-193441886768
2022-03-12,CA,2.611,469,2023-12-23-193441886768
2022-03-19,CA,1.992,478.667,2023-12-23-193441886768
2022-03-26,CA,2.048,484.667,2023-12-23-193441886768
2022-04-02,CA,2.224,476.667,2023-12-23-193441886768
2022-04-09,CA,2.27,467.667,2023-12-23-193441886768
2022-04-16,CA,2.223,459,2023-12-23-193441886768
2022-04-23,CA,1.85,466.333,2023-12-23-193441886768
2022-04-30,CA,1.001,453,2023-12-23-193441886768
2022-05-07,CA,0.605,465.667,2023-12-23-193441886768
2022-05-14,CA,0.517,498.667,2023-12-23-193441886768
2022-05-21,CA,0.709,585.667,2023-12-23-193441886768
2022-05-28,CA,0.995,648.333,2023-12-23-193441886768
2022-06-04,CA,0.777,643.667,2023-12-23-193441886768
2022-06-11,CA,0.937,633.667,2023-12-23-193441886768
2022-06-18,CA,0.899,625,2023-12-23-193441886768
2022-06-25,CA,1.131,647.333,2023-12-23-193441886768
2022-07-02,CA,1.285,602.333,2023-12-23-193441886768
2022-07-09,CA,1.722,569.333,2023-12-23-193441886768
2022-07-16,CA,1.541,511.667,2023-12-23-193441886768
2022-07-23,CA,1.399,488.333,2023-12-23-193441886768
2022-07-30,CA,1.117,476,2023-12-23-193441886768
2022-08-06,CA,1.273,444.333,2023-12-23-193441886768
2022-08-13,CA,0.989,429.667,2023-12-23-193441886768
2022-08-20,CA,0.96,390.333,2023-12-23-193441886768
2022-08-27,CA,2.223,354,2023-12-23-193441886768
2022-09-03,CA,2.994,307.667,2023-12-23-193441886768
2022-09-10,CA,3.733,305,2023-12-23-193441886768
2022-09-17,CA,4.191,290.667,2023-12-23-193441886768
2022-09-24,CA,6.855,284.667,2023-12-23-193441886768
2022-10-01,CA,11.963,245.667,2023-12-23-193441886768
2022-10-08,CA,16.63,282.333,2023-12-23-193441886768
2022-10-15,CA,23.698,309.333,2023-12-23-193441886768
2022-10-22,CA,28.697,371,2023-12-23-193441886768
2022-10-29,CA,32.637,395.333,2023-12-23-193441886768
2022-11-05,CA,33.107,476,2023-12-23-193441886768
2022-11-12,CA,30.116,576.333,2023-12-23-193441886768
2022-11-19,CA,25.098,985.333,2023-12-23-193441886768
2022-11-26,CA,18.709,1118.667,2023-12-23-193441886768
2022-12-03,CA,16.776,1147.667,2023-12-23-193441886768
2022-12-10,CA,17.374,861.333,2023-12-23-193441886768
2022-12-17,CA,18.372,778.333,2023-12-23-193441886768
2022-12-24,CA,17.465,718,2023-12-23-193441886768
2022-12-31,CA,14.106,565,2023-12-23-193441886768
2023-01-07,CA,12.335,407.333,2023-12-23-193441886768
2023-01-14,CA,9.652,297.667,2023-12-23-193441886768
2023-01-21,CA,8.561,524.333,2023-12-23-193441886768
2023-01-28,CA,6.29,843.333,2023-12-23-193441886768
2023-02-04,CA,5.207,1073.667,2023-12-23-193441886768
2023-02-11,CA,4.771,1036.667,2023-12-23-193441886768
2023-02-18,CA,4.624,933.667,2023-12-23-193441886768
2023-02-25,CA,4.465,845.333,2023-12-23-193441886768
2023-03-04,CA,4.351,812.667,2023-12-23-193441886768
2023-03-11,CA,3.942,782.333,2023-12-23-193441886768
2023-03-18,CA,3.234,778,2023-12-23-193441886768
2023-03-25,CA,2.431,760.333,2023-12-23-193441886768
2023-04-01,CA,1.988,739.333,2023-12-23-193441886768
2023-04-08,CA,1.677,712.667,2023-12-23-193441886768
2023-04-15,CA,1.417,664.667,2023-12-23-193441886768
2023-04-22,CA,1.018,614.333,2023-12-23-193441886768
2023-04-29,CA,1.249,577.667,2023-12-23-193441886768
2023-05-06,CA,1.37,572.667,2023-12-23-193441886768
2023-05-13,CA,1.417,455.333,2023-12-23-193441886768
2023-05-20,CA,0.783,472.667,2023-12-23-193441886768
2023-05-27,CA,0.885,455.333,2023-12-23-193441886768
2023-06-03,CA,0.808,430.333,2023-12-23-193441886768
2023-06-10,CA,0.842,310,2023-12-23-193441886768
2023-06-17,CA,0.406,302.333,2023-12-23-193441886768
2023-06-24,CA,0.349,408,2023-12-23-193441886768
2023-07-01,CA,0.461,461,2023-12-23-193441886768
2023-07-08,CA,0.585,350.333,2023-12-23-193441886768
2023-07-15,CA,0.449,238,2023-12-23-193441886768
2023-07-22,CA,0.707,260,2023-12-23-193441886768
2023-07-29,CA,0.999,293.667,2023-12-23-193441886768
2023-08-05,CA,1.154,457.667,2023-12-23-193441886768
2023-08-12,CA,0.636,395,2023-12-23-193441886768
2023-08-19,CA,0.653,503.333,2023-12-23-193441886768
2023-08-26,CA,0.835,519.333,2023-12-23-193441886768
2023-09-02,CA,1.477,656.667,2023-12-23-193441886768
2023-09-09,CA,1.45,550.333,2023-12-23-193441886768
2023-09-16,CA,2.742,496.667,2023-12-23-193441886768
2023-09-23,CA,2.332,367.667,2023-12-23-193441886768
2023-09-30,CA,3.099,372,2023-12-23-193441886768
2023-10-07,CA,3.349,449,2023-12-23-193441886768
2023-10-14,CA,5.706,597.667,2023-12-23-193441886768
2023-10-21,CA,8.115,587.333,2023-12-23-193441886768
2023-10-28,CA,10.049,435,2023-12-23-193441886768
2023-11-04,CA,12.746,320.667,2023-12-23-193441886768
2023-11-11,CA,15.019,384.333,2023-12-23-193441886768
2023-11-18,CA,19.861,611,2023-12-23-193441886768
2023-11-25,CA,0,480.667,2023-12-23-193441886768
2023-12-02,CA,0,328.667,2023-12-23-193441886768
2023-12-09,CA,0,0,2023-12-23-193441886768
2023-12-16,CA,0,0,2023-12-23-193441886768
2021-12-25,CO,0,0,2023-12-23-193441886768
2022-01-01,CO,0,0,2023-12-23-193441886768
2022-01-08,CO,0,0,2023-12-23-193441886768
2022-01-15,CO,0,0,2023-12-23-193441886768
2022-01-22,CO,0,0,2023-12-23-193441886768
2022-01-29,CO,0,0,2023-12-23-193441886768
2022-02-05,CO,0,0,2023-12-23-193441886768
2022-02-12,CO,0,0,2023-12-23-193441886768
2022-02-19,CO,0,0,2023-12-23-193441886768
2022-02-26,CO,0,0,2023-12-23-193441886768
2022-03-05,CO,0,0,2023-12-23-193441886768
2022-03-12,CO,0,0,2023-12-23-193441886768
2022-03-19,CO,0,0,2023-12-23-193441886768
2022-03-26,CO,0,0,2023-12-23-193441886768
2022-04-02,CO,0,0,2023-12-23-193441886768
2022-04-09,CO,0,0,2023-12-23-193441886768
2022-04-16,CO,0,0,2023-12-23-193441886768
2022-04-23,CO,0,0,2023-12-23-193441886768
2022-04-30,CO,0,0,2023-12-23-193441886768
2022-05-07,CO,0,0,2023-12-23-193441886768
2022-05-14,CO,0,0,2023-12-23-193441886768
2022-05-21,CO,0,0,2023-12-23-193441886768
2022-05-28,CO,0,0,2023-12-23-193441886768
2022-06-04,CO,0,0,2023-12-23-193441886768
2022-06-11,CO,0,0,2023-12-23-193441886768
2022-06-18,CO,0,0,2023-12-23-193441886768
2022-06-25,CO,0,0,2023-12-23-193441886768
2022-07-02,CO,0,0,2023-12-23-193441886768
2022-07-09,CO,0,0,2023-12-23-193441886768
2022-07-16,CO,0,0,2023-12-23-193441886768
2022-07-23,CO,0,0,2023-12-23-193441886768
2022-07-30,CO,0,0,2023-12-23-193441886768
2022-08-06,CO,0,0,2023-12-23-193441886768
2022-08-13,CO,0,0,2023-12-23-193441886768
2022-08-20,CO,0,0,2023-12-23-193441886768
2022-08-27,CO,0,0,2023-12-23-193441886768
2022-09-03,CO,0,0,2023-12-23-193441886768
2022-09-10,CO,0,0,2023-12-23-193441886768
2022-09-17,CO,0,0,2023-12-23-193441886768
2022-09-24,CO,0,0,2023-12-23-193441886768
2022-10-01,CO,0,0,2023-12-23-193441886768
2022-10-08,CO,0,0,2023-12-23-193441886768
2022-10-15,CO,0,0,2023-12-23-193441886768
2022-10-22,CO,0,0,2023-12-23-193441886768
2022-10-29,CO,0,0,2023-12-23-193441886768
2022-11-05,CO,0,0,2023-12-23-193441886768
2022-11-12,CO,0,0,2023-12-23-193441886768
2022-11-19,CO,0,0,2023-12-23-193441886768
2022-11-26,CO,0,0,2023-12-23-193441886768
2022-12-03,CO,0,0,2023-12-23-193441886768
2022-12-10,CO,0,0,2023-12-23-193441886768
2022-12-17,CO,0,0,2023-12-23-193441886768
2022-12-24,CO,0,0,2023-12-23-193441886768
2022-12-31,CO,0,0,2023-12-23-193441886768
2023-01-07,CO,0,0,2023-12-23-193441886768
2023-01-14,CO,0,0,2023-12-23-193441886768
2023-01-21,CO,0,0,2023-12-23-193441886768
2023-01-28,CO,0,0,2023-12-23-193441886768
2023-02-04,CO,0,0,2023-12-23-193441886768
2023-02-11,CO,0,0,2023-12-23-193441886768
2023-02-18,CO,0,0,2023-12-23-193441886768
2023-02-25,CO,0,0,2023-12-23-193441886768
2023-03-04,CO,0,0,2023-12-23-193441886768
2023-03-11,CO,0,0,2023-12-23-193441886768
2023-03-18,CO,0,0,2023-12-23-193441886768
2023-03-25,CO,0,0,2023-12-23-193441886768
2023-04-01,CO,0,0,2023-12-23-193441886768
2023-04-08,CO,0,0,2023-12-23-193441886768
2023-04-15,CO,0,0,2023-12-23-193441886768
2023-04-22,CO,0,0,2023-12-23-193441886768
2023-04-29,CO,0,0,2023-12-23-193441886768
2023-05-06,CO,0,0,2023-12-23-193441886768
2023-05-13,CO,0,0,2023-12-23-193441886768
2023-05-20,CO,0,0,2023-12-23-193441886768
2023-05-27,CO,0,0,2023-12-23-193441886768
2023-06-03,CO,0,0,2023-12-23-193441886768
2023-06-10,CO,0,0,2023-12-23-193441886768
2023-06-17,CO,0,0,2023-12-23-193441886768
2023-06-24,CO,0,0,2023-12-23-193441886768
2023-07-01,CO,0,0,2023-12-23-193441886768
2023-07-08,CO,0,0,2023-12-23-193441886768
2023-07-15,CO,0,0,2023-12-23-193441886768
2023-07-22,CO,0,0,2023-12-23-193441886768
2023-07-29,CO,0,0,2023-12-23-193441886768
2023-08-05,CO,0,0,2023-12-23-193441886768
2023-08-12,CO,0,0,2023-12-23-193441886768
2023-08-19,CO,0,0,2023-12-23-193441886768
2023-08-26,CO,0,0,2023-12-23-193441886768
2023-09-02,CO,0,0,2023-12-23-193441886768
