week,state,percent_positive,total_antigen_detection_tests,update_dts
2021-12-25,AL,4.427,59.667,2023-12-23-193441886768
2022-01-01,AL,2.241,51.667,2023-12-23-193441886768
2022-01-08,AL,1.686,41.667,2023-12-23-193441886768
2022-01-15,AL,1.111,31,2023-12-23-193441886768
2022-01-22,AL,2.778,25.333,2023-12-23-193441886768
2022-01-29,AL,1.667,20.333,2023-12-23-193441886768
2022-02-05,AL,1.667,17.333,2023-12-23-193441886768
2022-02-12,AL,0,16.667,2023-12-23-193441886768
2022-02-19,AL,0,22,2023-12-23-193441886768
2022-02-26,AL,0,21.667,2023-12-23-193441886768
2022-03-05,AL,0,25.333,2023-12-23-193441886768
2022-03-12,AL,0,21.667,2023-12-23-193441886768
2022-03-19,AL,0,21.667,2023-12-23-193441886768
2022-03-26,AL,0,15.667,2023-12-23-193441886768
2022-04-02,AL,0,14,2023-12-23-193441886768
2022-04-09,AL,0,13.333,2023-12-23-193441886768
2022-04-16,AL,0,15.333,2023-12-23-193441886768
2022-04-23,AL,0,14,2023-12-23-193441886768
2022-04-30,AL,1.667,16,2023-12-23-193441886768
2022-05-07,AL,3.627,21.667,2023-12-23-193441886768
2022-05-14,AL,6.658,21.667,2023-12-23-193441886768
2022-05-21,AL,6.066,25.333,2023-12-23-193441886768
2022-05-28,AL,9.853,23.667,2023-12-23-193441886768
2022-06-04,AL,11.822,26.667,2023-12-23-193441886768
2022-06-11,AL,13.646,24,2023-12-23-193441886768
2022-06-18,AL,13.781,20,2023-12-23-193441886768
2022-06-25,AL,11.502,29.667,2023-12-23-193441886768
2022-07-02,AL,10.826,27,2023-12-23-193441886768
2022-07-09,AL,6.531,28.333,2023-12-23-193441886768
2022-07-16,AL,5.198,20,2023-12-23-193441886768
2022-07-23,AL,15.675,22,2023-12-23-193441886768
2022-07-30,AL,23.964,24,2023-12-23-193441886768
2022-08-06,AL,37.853,24,2023-12-23-193441886768
2022-08-13,AL,39.043,29,2023-12-23-193441886768
2022-08-20,AL,41.288,34.667,2023-12-23-193441886768
2022-08-27,AL,36.056,51,2023-12-23-193441886768
2022-09-03,AL,30.939,51.667,2023-12-23-193441886768
2022-09-10,AL,26.064,52.333,2023-12-23-193441886768
2022-09-17,AL,22.079,42.667,2023-12-23-193441886768
2022-09-24,AL,21.099,55.667,2023-12-23-193441886768
2022-10-01,AL,16.816,55.333,2023-12-23-193441886768
2022-10-08,AL,13.96,58,2023-12-23-193441886768
2022-10-15,AL,9.447,52.667,2023-12-23-193441886768
2022-10-22,AL,6.838,69,2023-12-23-193441886768
2022-10-29,AL,3.633,93.667,2023-12-23-193441886768
2022-11-05,AL,0.681,107.333,2023-12-23-193441886768
2022-11-12,AL,1.716,100,2023-12-23-193441886768
2022-11-19,AL,2.179,82,2023-12-23-193441886768
2022-11-26,AL,4.002,68.667,2023-12-23-193441886768
2022-12-03,AL,4.953,63.667,2023-12-23-193441886768
2022-12-10,AL,4.987,62,2023-12-23-193441886768
2022-12-17,AL,4.226,57.333,2023-12-23-193441886768
2022-12-24,AL,1.886,57.333,2023-12-23-193441886768
2022-12-31,AL,1.389,46.667,2023-12-23-193441886768
2023-01-07,AL,0,45,2023-12-23-193441886768
2023-01-14,AL,0.794,40,2023-12-23-193441886768
2023-01-21,AL,2.433,48.667,2023-12-23-193441886768
2023-01-28,AL,3.266,47.667,2023-12-23-193441886768
