week,state,percent_positive,total_pcr_tests,update_dts
2022-04-09,AL,0,54,2024-04-06-193455928352
2022-04-16,AL,0,48.667,2024-04-06-193455928352
2022-04-23,AL,0.617,48.333,2024-04-06-193455928352
2022-04-30,AL,0.617,55.333,2024-04-06-193455928352
2022-05-07,AL,1.258,56.667,2024-04-06-193455928352
2022-05-14,AL,3.362,55,2024-04-06-193455928352
2022-05-21,AL,5.445,49.667,2024-04-06-193455928352
2022-05-28,AL,4.804,45.333,2024-04-06-193455928352
2022-06-04,AL,2.824,44,2024-04-06-193455928352
2022-06-11,AL,2.291,42.333,2024-04-06-193455928352
2022-06-18,AL,4.76,38.333,2024-04-06-193455928352
2022-06-25,AL,4.02,34.667,2024-04-06-193455928352
2022-07-02,AL,4.62,30.667,2024-04-06-193455928352
2022-07-09,AL,4.111,38.667,2024-04-06-193455928352
2022-07-16,AL,4.111,36.333,2024-04-06-193455928352
2022-07-23,AL,4.739,38,2024-04-06-193455928352
2022-07-30,AL,2.778,30.333,2024-04-06-193455928352
2022-08-06,AL,4.63,33.333,2024-04-06-193455928352
2022-08-13,AL,4.416,30,2024-04-06-193455928352
2022-08-20,AL,8.583,31.333,2024-04-06-193455928352
2022-08-27,AL,8.533,31.667,2024-04-06-193455928352
2022-09-03,AL,12.379,31.667,2024-04-06-193455928352
2022-09-10,AL,10.064,33,2024-04-06-193455928352
2022-09-17,AL,11.161,28.333,2024-04-06-193455928352
2022-09-24,AL,6.711,31,2024-04-06-193455928352
2022-10-01,AL,4.859,29.667,2024-04-06-193455928352
2022-10-08,AL,3.243,30.667,2024-04-06-193455928352
2022-10-15,AL,3.084,31.667,2024-04-06-193455928352
2022-10-22,AL,3.659,40.333,2024-04-06-193455928352
2022-10-29,AL,2.923,52,2024-04-06-193455928352
2022-11-05,AL,1.75,57.333,2024-04-06-193455928352
2022-11-12,AL,2.009,51.333,2024-04-06-193455928352
2022-11-19,AL,4.493,38.333,2024-04-06-193455928352
2022-11-26,AL,8.626,32.333,2024-04-06-193455928352
2022-12-03,AL,9.697,30.667,2024-04-06-193455928352
2022-12-10,AL,8.182,38,2024-04-06-193455928352
2022-12-17,AL,3.42,36.333,2024-04-06-193455928352
2022-12-24,AL,2.013,47,2024-04-06-193455928352
2022-12-31,AL,0.498,44.333,2024-04-06-193455928352
2023-01-07,AL,0.498,51,2024-04-06-193455928352
2023-01-14,AL,0,40.333,2024-04-06-193455928352
2023-01-21,AL,0,43.667,2024-04-06-193455928352
2023-01-28,AL,0,43.667,2024-04-06-193455928352
2023-02-04,AL,0.775,46.333,2024-04-06-193455928352
2023-02-11,AL,0.775,40.667,2024-04-06-193455928352
2023-02-18,AL,1.676,36.333,2024-04-06-193455928352
2023-02-25,AL,0.901,29,2024-04-06-193455928352
2023-03-04,AL,0.901,27.667,2024-04-06-193455928352
2023-03-11,AL,0,23.667,2024-04-06-193455928352
2023-03-18,AL,1.111,26.667,2024-04-06-193455928352
2023-03-25,AL,1.111,24,2024-04-06-193455928352
2023-04-01,AL,1.111,22.667,2024-04-06-193455928352
2023-04-08,AL,1.149,22.333,2024-04-06-193455928352
2023-04-15,AL,1.149,29.333,2024-04-06-193455928352
2023-04-22,AL,1.149,32.333,2024-04-06-193455928352
2023-04-29,AL,0,29.333,2024-04-06-193455928352
2023-05-06,AL,0,25,2024-04-06-193455928352
2023-05-13,AL,0,21.333,2024-04-06-193455928352
2023-05-20,AL,0,25,2024-04-06-193455928352
2023-05-27,AL,0,24,2024-04-06-193455928352
2023-06-03,AL,0,23.667,2024-04-06-193455928352
2023-06-10,AL,0,21,2024-04-06-193455928352
2023-06-17,AL,0,21.333,2024-04-06-193455928352
2023-06-24,AL,0,23,2024-04-06-193455928352
2023-07-01,AL,0,22.333,2024-04-06-193455928352
2023-07-08,AL,0,21,2024-04-06-193455928352
2023-07-15,AL,1.149,23,2024-04-06-193455928352
2023-07-22,AL,1.149,25.667,2024-04-06-193455928352
2023-07-29,AL,1.149,26.333,2024-04-06-193455928352
2023-08-05,AL,0,24,2024-04-06-193455928352
