week,state,antigen_detections,pcr_detections,update_dts
2021-03-06,AL,0.6,1,2023-03-04-193853
2021-03-13,AL,0.8,1.2,2023-03-04-193853
2021-03-20,AL,1.4,1.8,2023-03-04-193853
2021-03-27,AL,1.6,1.8,2023-03-04-193853
2021-04-03,AL,3.4,2,2023-03-04-193853
2021-04-10,AL,4.8,2,2023-03-04-193853
2021-04-17,AL,5.6,3.2,2023-03-04-193853
2021-04-24,AL,5.8,4.2,2023-03-04-193853
2021-05-01,AL,6.8,5.8,2023-03-04-193853
2021-05-08,AL,5.4,8.6,2023-03-04-193853
2021-05-15,AL,5.6,11.2,2023-03-04-193853
2021-05-22,AL,8,14.8,2023-03-04-193853
2021-05-29,AL,9.6,20.4,2023-03-04-193853
2021-06-05,AL,10.2,24.8,2023-03-04-193853
2021-06-12,AL,11.8,25.4,2023-03-04-193853
2021-06-19,AL,13.8,25,2023-03-04-193853
2021-06-26,AL,12.2,21.6,2023-03-04-193853
2021-07-03,AL,11.8,14.6,2023-03-04-193853
2021-07-10,AL,11.8,9,2023-03-04-193853
2021-07-17,AL,9.6,6.2,2023-03-04-193853
2021-07-24,AL,7,5.8,2023-03-04-193853
2021-07-31,AL,5.2,6.4,2023-03-04-193853
2021-08-07,AL,4.2,6.4,2023-03-04-193853
2021-08-14,AL,2.8,7.2,2023-03-04-193853
2021-08-21,AL,3.2,6.8,2023-03-04-193853
2021-08-28,AL,2.2,4.4,2023-03-04-193853
2021-09-04,AL,2.6,2.8,2023-03-04-193853
2021-09-11,AL,1.6,2.8,2023-03-04-193853
2021-09-18,AL,1.8,2,2023-03-04-193853
2021-09-25,AL,1.6,1.8,2023-03-04-193853
2021-10-02,AL,2.2,1.8,2023-03-04-193853
2021-10-09,AL,2.2,1.4,2023-03-04-193853
2021-10-16,AL,2.6,1.4,2023-03-04-193853
2021-10-23,AL,2.2,0.8,2023-03-04-193853
2021-10-30,AL,2,0.8,2023-03-04-193853
2021-11-06,AL,1.8,1,2023-03-04-193853
2021-11-13,AL,1.6,0.8,2023-03-04-193853
2021-11-20,AL,1.4,1,2023-03-04-193853
2021-11-27,AL,1.2,1.4,2023-03-04-193853
2021-12-04,AL,1.8,1.4,2023-03-04-193853
2021-12-11,AL,2,1.2,2023-03-04-193853
2021-12-18,AL,2,1.4,2023-03-04-193853
2021-12-25,AL,1.6,1.4,2023-03-04-193853
2022-01-01,AL,1.8,1,2023-03-04-193853
2022-01-08,AL,1,0.8,2023-03-04-193853
2022-01-15,AL,0.6,0.8,2023-03-04-193853
2022-01-22,AL,0.4,0.8,2023-03-04-193853
2022-01-29,AL,0.4,0.4,2023-03-04-193853
2022-02-05,AL,0.2,0.6,2023-03-04-193853
2022-02-12,AL,0.2,1.6,2023-03-04-193853
2022-02-19,AL,0,1.8,2023-03-04-193853
2022-02-26,AL,0,2.8,2023-03-04-193853
2022-03-05,AL,0,3,2023-03-04-193853
2022-03-12,AL,0,3,2023-03-04-193853
2022-03-19,AL,0,2,2023-03-04-193853
2022-03-26,AL,0,1.6,2023-03-04-193853
2022-04-02,AL,0,0.4,2023-03-04-193853
2022-04-09,AL,0,0.2,2023-03-04-193853
2022-04-16,AL,0,0.2,2023-03-04-193853
2022-04-23,AL,0.2,0.2,2023-03-04-193853
2022-04-30,AL,0.6,0.4,2023-03-04-193853
2022-05-07,AL,0.8,1.2,2023-03-04-193853
2022-05-14,AL,1,1.8,2023-03-04-193853
2022-05-21,AL,2,1.6,2023-03-04-193853
2022-05-28,AL,2.4,1.8,2023-03-04-193853
2022-06-04,AL,2.4,2,2023-03-04-193853
2022-06-11,AL,2.8,1.6,2023-03-04-193853
2022-06-18,AL,3.4,1,2023-03-04-193853
2022-06-25,AL,2.6,1.4,2023-03-04-193853
2022-07-02,AL,2.2,1.8,2023-03-04-193853
