week,state,antigen_detections,pcr_detections,update_dts
,AL,7,5.8,2023-07-20-091818
,AL,5.2,6.4,2023-07-20-091818
,AL,4.2,6.4,2023-07-20-091818
,AL,2.8,7.2,2023-07-20-091818
,AL,3.2,6.8,2023-07-20-091818
,AL,2.2,4.4,2023-07-20-091818
,AL,2.6,2.8,2023-07-20-091818
,AL,1.6,2.8,2023-07-20-091818
,AL,1.8,2,2023-07-20-091818
,AL,1.6,1.8,2023-07-20-091818
,AL,2.2,1.8,2023-07-20-091818
,AL,2.2,1.4,2023-07-20-091818
,AL,2.6,1.4,2023-07-20-091818
,AL,2.2,0.8,2023-07-20-091818
,AL,2,0.8,2023-07-20-091818
,AL,1.8,1,2023-07-20-091818
,AL,1.6,0.8,2023-07-20-091818
,AL,1.4,1,2023-07-20-091818
,AL,1.2,1.4,2023-07-20-091818
,AL,1.8,1.4,2023-07-20-091818
,AL,2,1.2,2023-07-20-091818
,AL,2,1.4,2023-07-20-091818
,AL,1.6,1.4,2023-07-20-091818
,AL,1.8,1,2023-07-20-091818
,AL,1,0.8,2023-07-20-091818
,AL,0.6,0.8,2023-07-20-091818
,AL,0.4,0.8,2023-07-20-091818
,AL,0.4,0.4,2023-07-20-091818
,AL,0.2,0.6,2023-07-20-091818
,AL,0.2,1.6,2023-07-20-091818
,AL,0,1.8,2023-07-20-091818
,AL,0,2.8,2023-07-20-091818
,AL,0,3,2023-07-20-091818
,AL,0,3,2023-07-20-091818
,AL,0,2,2023-07-20-091818
,AL,0,1.6,2023-07-20-091818
,AL,0,0.4,2023-07-20-091818
,AL,0,0.2,2023-07-20-091818
,AL,0,0.2,2023-07-20-091818
,AL,0.2,0.2,2023-07-20-091818
,AL,0.6,0.4,2023-07-20-091818
,AL,0.8,1.2,2023-07-20-091818
,AL,1,1.8,2023-07-20-091818
,AL,2,1.6,2023-07-20-091818
,AL,2.4,1.8,2023-07-20-091818
,AL,2.4,2,2023-07-20-091818
,AL,2.8,1.6,2023-07-20-091818
,AL,3.4,1,2023-07-20-091818
,AL,2.6,1.4,2023-07-20-091818
,AL,2.2,1.8,2023-07-20-091818
,AL,2,1.4,2023-07-20-091818
,AL,3,1.6,2023-07-20-091818
,AL,3.8,1.6,2023-07-20-091818
,AL,5.8,1.6,2023-07-20-091818
,AL,8.6,1.4,2023-07-20-091818
,AL,11.6,2.2,2023-07-20-091818
,AL,14.4,2,2023-07-20-091818
,AL,14.8,3,2023-07-20-091818
,AL,14.6,3,2023-07-20-091818
