week,state,antigen_detections,pcr_detections,update_dts
,AL,13.2,3,2023-07-20-091818
,AL,13.6,2.6,2023-07-20-091818
,AL,10,2.2,2023-07-20-091818
,AL,9,1.4,2023-07-20-091818
,AL,8.2,1.4,2023-07-20-091818
,AL,6.8,1.2,2023-07-20-091818
,AL,3.2,1,2023-07-20-091818
,AL,2.6,1.2,2023-07-20-091818
,AL,2.2,1.2,2023-07-20-091818
,AL,1.2,1.2,2023-07-20-091818
,AL,1.8,2,2023-07-20-091818
,AL,2.6,2.2,2023-07-20-091818
,AL,2.6,2.4,2023-07-20-091818
,AL,2.4,2.2,2023-07-20-091818
,AL,2.2,2,2023-07-20-091818
,AL,1.4,1,2023-07-20-091818
,AL,0.6,0.6,2023-07-20-091818
,AL,0.6,0.2,2023-07-20-091818
,AL,0.8,0.2,2023-07-20-091818
,AL,1,0,2023-07-20-091818
,AL,1.2,0.2,2023-07-20-091818
,AL,1.2,0.2,2023-07-20-091818
,AL,1,0.4,2023-07-20-091818
,AL,0.4,0.4,2023-07-20-091818
,AL,0.2,0.4,2023-07-20-091818
,AL,0,0.2,2023-07-20-091818
,AL,0.2,0.4,2023-07-20-091818
,AL,0.4,0.2,2023-07-20-091818
,AL,0.6,0.2,2023-07-20-091818
,AL,0.8,0.4,2023-07-20-091818
,AL,0.8,0.4,2023-07-20-091818
,AL,0.6,0.2,2023-07-20-091818
,AL,0.6,0.2,2023-07-20-091818
,AL,0.4,0.2,2023-07-20-091818
,AL,0.2,0,2023-07-20-091818
,AL,0.2,0,2023-07-20-091818
,AL,0.2,0,2023-07-20-091818
,AL,0.6,0,2023-07-20-091818
,AL,0.8,0,2023-07-20-091818
,AL,1,0,2023-07-20-091818
,AL,1.2,0,2023-07-20-091818
,AL,1.2,0,2023-07-20-091818
,AL,0.8,0,2023-07-20-091818
,AL,0.75,0,2023-07-20-091818
,AL,0.667,0,2023-07-20-091818
,AZ,0,43,2023-07-20-091818
,AZ,0,60.2,2023-07-20-091818
,AZ,0,80.2,2023-07-20-091818
,AZ,0,98.4,2023-07-20-091818
,AZ,0,106.4,2023-07-20-091818
,AZ,0,113.8,2023-07-20-091818
,AZ,0,119.2,2023-07-20-091818
,AZ,0,118.4,2023-07-20-091818
,AZ,0,108.6,2023-07-20-091818
,AZ,0,106.8,2023-07-20-091818
,AZ,0,96,2023-07-20-091818
,AZ,0,79.6,2023-07-20-091818
,AZ,0,67.6,2023-07-20-091818
,AZ,0,61,2023-07-20-091818
,AZ,0,53.8,2023-07-20-091818
,AZ,0,48.4,2023-07-20-091818
,AZ,0,50.2,2023-07-20-091818
,AZ,0,47.4,2023-07-20-091818
,AZ,0,45.2,2023-07-20-091818
,AZ,0,44.6,2023-07-20-091818
,AZ,0,47.8,2023-07-20-091818
,AZ,0,52.4,2023-07-20-091818
,AZ,0,59,2023-07-20-091818
,AZ,0,55.6,2023-07-20-091818
,AZ,0,52.8,2023-07-20-091818
,AZ,0,46.4,2023-07-20-091818
,AZ,0,35.8,2023-07-20-091818
,AZ,0,24.4,2023-07-20-091818
,AZ,0,22,2023-07-20-091818
,AZ,0,17.6,2023-07-20-091818
,AZ,0,14.6,2023-07-20-091818
,AZ,0,13.2,2023-07-20-091818
,AZ,0,11,2023-07-20-091818
,AZ,0,9.8,2023-07-20-091818
,AZ,0,10,2023-07-20-091818
,AZ,0,10.2,2023-07-20-091818
,AZ,0,8.4,2023-07-20-091818
,AZ,0,7.4,2023-07-20-091818
,AZ,0,7.4,2023-07-20-091818
,AZ,0,5.4,2023-07-20-091818
,AZ,0,5.4,2023-07-20-091818
,AZ,0,5.2,2023-07-20-091818
,AZ,0,6,2023-07-20-091818
,AZ,0,7.2,2023-07-20-091818
,AZ,0,7.4,2023-07-20-091818
,AZ,0,6.6,2023-07-20-091818
,AZ,0,6.6,2023-07-20-091818
,AZ,0,6.2,2023-07-20-091818
,AZ,0,4.2,2023-07-20-091818
,AZ,0,4.2,2023-07-20-091818
,AZ,0,3.4,2023-07-20-091818
,AZ,0,3.2,2023-07-20-091818
,AZ,0,2.6,2023-07-20-091818
,AZ,0,3.8,2023-07-20-091818
,AZ,0,3.4,2023-07-20-091818
,AZ,0,4.8,2023-07-20-091818
,AZ,0,7.6,2023-07-20-091818
,AZ,0,9.4,2023-07-20-091818
,AZ,0,10.6,2023-07-20-091818
,AZ,0,14.2,2023-07-20-091818
,AZ,0,21.4,2023-07-20-091818
,AZ,0,33,2023-07-20-091818
,AZ,0,52.8,2023-07-20-091818
,AZ,0,64.2,2023-07-20-091818
,AZ,0,79.2,2023-07-20-091818
,AZ,0,99.2,2023-07-20-091818
,AZ,0,118.2,2023-07-20-091818
,AZ,0,130.6,2023-07-20-091818
,AZ,0,145,2023-07-20-091818
,AZ,0,150.6,2023-07-20-091818
,AZ,0,143.8,2023-07-20-091818
,AZ,0,128.2,2023-07-20-091818
,AZ,0,108.6,2023-07-20-091818
,AZ,0,92.4,2023-07-20-091818
,AZ,0,80.8,2023-07-20-091818
,AZ,0,65.6,2023-07-20-091818
,AZ,0,53,2023-07-20-091818
,AZ,0,43,2023-07-20-091818
,AZ,0,33,2023-07-20-091818
,AZ,0,22.2,2023-07-20-091818
,AZ,0,18.6,2023-07-20-091818
,AZ,0,16.4,2023-07-20-091818
,AZ,0,12.8,2023-07-20-091818
,AZ,0,11.6,2023-07-20-091818
,AZ,0,10.2,2023-07-20-091818
,AZ,0,8,2023-07-20-091818
,AZ,0,5,2023-07-20-091818
,AZ,0,5.2,2023-07-20-091818
,AZ,0,4,2023-07-20-091818
,AZ,0,3.4,2023-07-20-091818
,AZ,0,3,2023-07-20-091818
,AZ,0,2.8,2023-07-20-091818
,AZ,0,2,2023-07-20-091818
,AZ,0,2,2023-07-20-091818
,AZ,0,2.2,2023-07-20-091818
,AZ,0,1.6,2023-07-20-091818
,AZ,0,1.4,2023-07-20-091818
,AZ,0,1,2023-07-20-091818
,AZ,0,0.8,2023-07-20-091818
,AZ,0,0.6,2023-07-20-091818
,AZ,0,0.8,2023-07-20-091818
,AZ,0,0.8,2023-07-20-091818
,AZ,0,1,2023-07-20-091818
,AZ,0,1.333,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,AR,0,0,2023-07-20-091818
,CA,4.8,16.8,2023-07-20-091818
,CA,5.2,22,2023-07-20-091818
,CA,6,29,2023-07-20-091818
,CA,5.6,33.8,2023-07-20-091818
,CA,6.2,41.2,2023-07-20-091818
,CA,7.2,49.4,2023-07-20-091818
,CA,9.2,54.6,2023-07-20-091818
,CA,11,63,2023-07-20-091818
,CA,12.6,78,2023-07-20-091818
,CA,13.2,94.6,2023-07-20-091818
,CA,13,107.8,2023-07-20-091818
,CA,13.8,127.2,2023-07-20-091818
,CA,14.8,172.4,2023-07-20-091818
,CA,15.8,228.6,2023-07-20-091818
,CA,21.8,295.8,2023-07-20-091818
,CA,23.4,366.2,2023-07-20-091818
,CA,29.2,464.2,2023-07-20-091818
,CA,32.8,572.6,2023-07-20-091818
,CA,38.2,691.2,2023-07-20-091818
,CA,37.6,794,2023-07-20-091818
,CA,45.2,877.8,2023-07-20-091818
,CA,52,815.2,2023-07-20-091818
,CA,54.6,812,2023-07-20-091818
,CA,61.8,714.4,2023-07-20-091818
,CA,62,587.8,2023-07-20-091818
,CA,57,445.8,2023-07-20-091818
,CA,46.8,408,2023-07-20-091818
,CA,39.8,263.4,2023-07-20-091818
,CA,28.4,180,2023-07-20-091818
,CA,23.4,124.2,2023-07-20-091818
,CA,21.4,97,2023-07-20-091818
,CA,16.8,78.6,2023-07-20-091818
,CA,15.8,64.8,2023-07-20-091818
,CA,13,60.2,2023-07-20-091818
,CA,11.2,55,2023-07-20-091818
,CA,9.8,52,2023-07-20-091818
,CA,11,48.4,2023-07-20-091818
,CA,10,50.8,2023-07-20-091818
,CA,9.2,48.6,2023-07-20-091818
,CA,7.8,49,2023-07-20-091818
,CA,5.4,52.2,2023-07-20-091818
,CA,4.6,60.8,2023-07-20-091818
,CA,4.2,61.4,2023-07-20-091818
,CA,4,60.6,2023-07-20-091818
,CA,4.8,64,2023-07-20-091818
,CA,6,64.4,2023-07-20-091818
,CA,5.6,56,2023-07-20-091818
,CA,6.6,53.4,2023-07-20-091818
,CA,6.8,52.8,2023-07-20-091818
,CA,8.4,48.4,2023-07-20-091818
,CA,7.8,45.8,2023-07-20-091818
,CA,7.6,48.6,2023-07-20-091818
,CA,7.2,49.4,2023-07-20-091818
,CA,6.6,51,2023-07-20-091818
,CA,4.4,53.2,2023-07-20-091818
,CA,4.6,62.6,2023-07-20-091818
,CA,6.4,72.8,2023-07-20-091818
,CA,6.4,86.8,2023-07-20-091818
,CA,8,109.8,2023-07-20-091818
,CA,10.8,148.6,2023-07-20-091818
,CA,15.2,215,2023-07-20-091818
,CA,21.8,322,2023-07-20-091818
,CA,34.4,454.8,2023-07-20-091818
,CA,53.2,682.6,2023-07-20-091818
,CA,79.6,1010,2023-07-20-091818
,CA,101,1377.6,2023-07-20-091818
,CA,130,1884,2023-07-20-091818
,CA,152.6,2355.4,2023-07-20-091818
,CA,187.8,2560.2,2023-07-20-091818
,CA,185.8,2626.4,2023-07-20-091818
,CA,190.4,2513,2023-07-20-091818
,CA,181.8,2150.6,2023-07-20-091818
,CA,170,1745,2023-07-20-091818
,CA,134.4,1451.6,2023-07-20-091818
,CA,112.8,1158.2,2023-07-20-091818
,CA,87.4,927.6,2023-07-20-091818
,CA,62.8,740.4,2023-07-20-091818
,CA,49.4,581,2023-07-20-091818
,CA,40.2,464.6,2023-07-20-091818
,CA,44.6,363.2,2023-07-20-091818
,CA,46.4,295.2,2023-07-20-091818
,CA,49.2,243.6,2023-07-20-091818
,CA,44.6,211.4,2023-07-20-091818
,CA,39.2,174,2023-07-20-091818
,CA,34.2,146.6,2023-07-20-091818
,CA,30,121.6,2023-07-20-091818
,CA,24.4,100.8,2023-07-20-091818
,CA,20.4,81.8,2023-07-20-091818
,CA,16,66.8,2023-07-20-091818
,CA,11.8,47,2023-07-20-091818
,CA,9,32,2023-07-20-091818
,CA,9,22,2023-07-20-091818
,CA,7.6,12.2,2023-07-20-091818
,CA,6,10.4,2023-07-20-091818
,CA,5.4,8.2,2023-07-20-091818
,CA,6.2,8.4,2023-07-20-091818
,CA,4,8.6,2023-07-20-091818
,CA,2.8,7.4,2023-07-20-091818
,CA,2.6,7.6,2023-07-20-091818
,CA,2.4,9.6,2023-07-20-091818
,CA,1.2,7.6,2023-07-20-091818
,CA,1,6.75,2023-07-20-091818
,CA,1,7.667,2023-07-20-091818
,CA,1,0,2023-07-20-091818
,CO,0,36,2023-07-20-091818
,CO,0,48.2,2023-07-20-091818
,CO,0,62.8,2023-07-20-091818
,CO,0,76.2,2023-07-20-091818
,CO,0,84.2,2023-07-20-091818
,CO,0,91.2,2023-07-20-091818
,CO,0,93.6,2023-07-20-091818
,CO,0,94.6,2023-07-20-091818
,CO,0,102,2023-07-20-091818
,CO,0,111.6,2023-07-20-091818
,CO,0,102.8,2023-07-20-091818
,CO,0,117.4,2023-07-20-091818
,CO,0,123.8,2023-07-20-091818
,CO,0,117,2023-07-20-091818
,CO,0,138,2023-07-20-091818
,CO,0,173,2023-07-20-091818
,CO,0,185,2023-07-20-091818
,CO,0,203.4,2023-07-20-091818
,CO,0,223,2023-07-20-091818
,CO,0,214,2023-07-20-091818
,CO,0,207.8,2023-07-20-091818
,CO,0,194.4,2023-07-20-091818
,CO,0,169.2,2023-07-20-091818
,CO,0,140.2,2023-07-20-091818
,CO,0,108.2,2023-07-20-091818
,CO,0,76.8,2023-07-20-091818
,CO,0,52.2,2023-07-20-091818
,CO,0,36,2023-07-20-091818
,CO,0,27.6,2023-07-20-091818
,CO,0,25.2,2023-07-20-091818
,CO,0,23.2,2023-07-20-091818
,CO,0,22.8,2023-07-20-091818
,CO,0,22.4,2023-07-20-091818
,CO,0,22.4,2023-07-20-091818
,CO,0,19.6,2023-07-20-091818
,CO,0,18.4,2023-07-20-091818
,CO,0,14.4,2023-07-20-091818
,CO,0,12.6,2023-07-20-091818
,CO,0,13.8,2023-07-20-091818
,CO,0,14,2023-07-20-091818
,CO,0,12.6,2023-07-20-091818
,CO,0,15.8,2023-07-20-091818
,CO,0,16.4,2023-07-20-091818
,CO,0,15.4,2023-07-20-091818
,CO,0,15.8,2023-07-20-091818
,CO,0,16.4,2023-07-20-091818
,CO,0,16.2,2023-07-20-091818
,CO,0,15.8,2023-07-20-091818
,CO,0,14.2,2023-07-20-091818
,CO,0,12.8,2023-07-20-091818
,CO,0,13.2,2023-07-20-091818
,CO,0,11.2,2023-07-20-091818
,CO,0,12.2,2023-07-20-091818
,CO,0,13.2,2023-07-20-091818
,CO,0,13.6,2023-07-20-091818
,CO,0,12.6,2023-07-20-091818
,CO,0,12.4,2023-07-20-091818
,CO,0,12.6,2023-07-20-091818
,CO,0,12.8,2023-07-20-091818
,CO,0,18.6,2023-07-20-091818
,CO,0,29.6,2023-07-20-091818
,CO,0,46.8,2023-07-20-091818
,CO,0,70.2,2023-07-20-091818
,CO,0,100,2023-07-20-091818
,CO,0,112,2023-07-20-091818
,CO,0,154,2023-07-20-091818
,CO,0,244.4,2023-07-20-091818
,CO,0,355.4,2023-07-20-091818
,CO,0,450.6,2023-07-20-091818
,CO,0,524.2,2023-07-20-091818
,CO,0,547,2023-07-20-091818
,CO,0,505.2,2023-07-20-091818
,CO,0,410.4,2023-07-20-091818
,CO,0,325.2,2023-07-20-091818
,CO,0,265,2023-07-20-091818
,CO,0,207.4,2023-07-20-091818
,CO,0,155.2,2023-07-20-091818
,CO,0,125.8,2023-07-20-091818
,CO,0,94.8,2023-07-20-091818
,CO,0,70.6,2023-07-20-091818
,CO,0,58.8,2023-07-20-091818
,CO,0,49.6,2023-07-20-091818
,CO,0,39.8,2023-07-20-091818
,CO,0,33,2023-07-20-091818
,CO,0,27,2023-07-20-091818
,CO,0,20.4,2023-07-20-091818
,CO,0,14.6,2023-07-20-091818
,CO,0,13.6,2023-07-20-091818
,CO,0,10.8,2023-07-20-091818
,CO,0,9.4,2023-07-20-091818
,CO,0,8,2023-07-20-091818
,CO,0,7.6,2023-07-20-091818
,CO,0,5.2,2023-07-20-091818
,CO,0,3.6,2023-07-20-091818
,CO,0,2.4,2023-07-20-091818
,CO,0,2.2,2023-07-20-091818
,CO,0,1.8,2023-07-20-091818
,CO,0,2.2,2023-07-20-091818
,CO,0,1.6,2023-07-20-091818
,CO,0,1.2,2023-07-20-091818
,CO,0,1.2,2023-07-20-091818
,CO,0,1.2,2023-07-20-091818
,CO,0,1,2023-07-20-091818
,CO,0,1.333,2023-07-20-091818
,CT,0,58,2023-07-20-091818
,CT,0,78,2023-07-20-091818
,CT,0,90,2023-07-20-091818
,CT,0,98.4,2023-07-20-091818
,CT,0,97.4,2023-07-20-091818
,CT,0,96,2023-07-20-091818
,CT,0,87.8,2023-07-20-091818
,CT,0,84.8,2023-07-20-091818
,CT,0,80.4,2023-07-20-091818
,CT,0,81.2,2023-07-20-091818
,CT,0,83,2023-07-20-091818
,CT,0,85.4,2023-07-20-091818
,CT,0,84.4,2023-07-20-091818
,CT,0,82.8,2023-07-20-091818
,CT,0,77.6,2023-07-20-091818
,CT,0,71.4,2023-07-20-091818
,CT,0,63.4,2023-07-20-091818
,CT,0,58,2023-07-20-091818
,CT,0,54,2023-07-20-091818
,CT,0,53.2,2023-07-20-091818
,CT,0,47,2023-07-20-091818
,CT,0,39.6,2023-07-20-091818
,CT,0,32.8,2023-07-20-091818
,CT,0,27.2,2023-07-20-091818
,CT,0,19.8,2023-07-20-091818
,CT,0,14.4,2023-07-20-091818
,CT,0,12,2023-07-20-091818
,CT,0,8.2,2023-07-20-091818
,CT,0,5.4,2023-07-20-091818
,CT,0,4,2023-07-20-091818
,CT,0,3.8,2023-07-20-091818
,CT,0,3.4,2023-07-20-091818
,CT,0,3.4,2023-07-20-091818
,CT,0,3.6,2023-07-20-091818
,CT,0,3.6,2023-07-20-091818
,CT,0,3.2,2023-07-20-091818
,CT,0,3,2023-07-20-091818
,CT,0,4.8,2023-07-20-091818
,CT,0,6.2,2023-07-20-091818
,CT,0,7.2,2023-07-20-091818
,CT,0,8,2023-07-20-091818
,CT,0,8.4,2023-07-20-091818
,CT,0,9,2023-07-20-091818
,CT,0,10,2023-07-20-091818
,CT,0,10.8,2023-07-20-091818
,CT,0,11.6,2023-07-20-091818
,CT,0,14.2,2023-07-20-091818
,CT,0,15.8,2023-07-20-091818
,CT,0,15,2023-07-20-091818
,CT,0,17,2023-07-20-091818
,CT,0,19.8,2023-07-20-091818
,CT,0,22.2,2023-07-20-091818
,CT,0,24.4,2023-07-20-091818
,CT,0,25.8,2023-07-20-091818
,CT,0,27.6,2023-07-20-091818
,CT,0,28.8,2023-07-20-091818
,CT,0,27.6,2023-07-20-091818
,CT,0,27.2,2023-07-20-091818
,CT,0,28,2023-07-20-091818
,CT,0,31,2023-07-20-091818
,CT,0,39.6,2023-07-20-091818
,CT,0,52,2023-07-20-091818
,CT,0,75.6,2023-07-20-091818
,CT,0,107.8,2023-07-20-091818
,CT,0,159,2023-07-20-091818
,CT,0,214.2,2023-07-20-091818
,CT,0,268.2,2023-07-20-091818
,CT,0,298.2,2023-07-20-091818
,CT,0,301.2,2023-07-20-091818
,CT,0,274.8,2023-07-20-091818
,CT,0,231.2,2023-07-20-091818
,CT,0,179.6,2023-07-20-091818
,CT,0,132,2023-07-20-091818
,CT,0,102.6,2023-07-20-091818
,CT,0,78.6,2023-07-20-091818
,CT,0,60.4,2023-07-20-091818
,CT,0,46,2023-07-20-091818
,CT,0,39,2023-07-20-091818
,CT,0,32.6,2023-07-20-091818
,CT,0,26.4,2023-07-20-091818
,CT,0,22.2,2023-07-20-091818
,CT,0,20.2,2023-07-20-091818
,CT,0,18.4,2023-07-20-091818
,CT,0,17.6,2023-07-20-091818
,CT,0,15.6,2023-07-20-091818
,CT,0,12.2,2023-07-20-091818
,CT,0,10,2023-07-20-091818
,CT,0,7.6,2023-07-20-091818
,CT,0,5.2,2023-07-20-091818
,CT,0,4.8,2023-07-20-091818
,CT,0,5.6,2023-07-20-091818
,CT,0,5.2,2023-07-20-091818
,CT,0,5,2023-07-20-091818
,CT,0,4.6,2023-07-20-091818
,CT,0,3.4,2023-07-20-091818
,CT,0,2.2,2023-07-20-091818
,CT,0,2.2,2023-07-20-091818
,CT,0,1.4,2023-07-20-091818
,CT,0,1.6,2023-07-20-091818
,CT,0,1.2,2023-07-20-091818
,CT,0,1.2,2023-07-20-091818
,CT,0,0.4,2023-07-20-091818
,CT,0,0.5,2023-07-20-091818
,CT,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
,DE,0,0,2023-07-20-091818
